Type,Government,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.82175684,27.68846484,29.39461699,27.93762021,28.49305242,27.47846052,25.27948118,26.30166321,25.65522528,26.32601957,26.66494908,28.82954264,29.50611028,26.03052552,25.76147905,25.11554922,25.98283879,28.85702211,28.06361064,26.67703004,27.10411785,26.57091305,27.07601448,30.52692833,29.6562755
0,Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.63636364,28.13142303,28.46612295,33.09036382,30.82324862,28.27385673,25.71754864,27.0182361,27.269194,28.12021129,24.66482357,28.08007854,32.18247546,27.09317823,27.78398465,27.91314467,28.47289696,34.0884822,38.7968946,43.57008404,38.42106037,40.91563507,43.23489167,36.38327957,41.07091696,45.96704563,41.72794697,39.56883271,39.70727009,41.22840726,41.70943439,36.4746089
0,Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.08923675,29.43409728,27.40220758,44.38460085,36.13240157,30.21362692,28.88877088,32.96993277,27.88261206,25.01902844,29.33692701,37.05672183,50.81970966,43.15785189,38.23193927,36.50051998,36.34764379,36.29850261,35.41308372,25.26999966,19.20077266,20.47982181,15.84205363,14.82250342,16.03948909,14.2447057
0,Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.2085896,19.15529511,16.92528067,17.68502823,19.5690574,19.64120752,18.03031448,16.35346281,19.78636777,19.89153266,18.06324556,23.04622176,25.11767873,22.01572545,20.16648298,20.5791287,25.61432195,23.85782436,23.61919253,29.1514143,20.48054477,21.80126972,18.76936192,20.60479619,20.31906829,24.19125436,22.11731873,20.87498581,19.77381247,19.86355533,24.19606351,22.53775101
0,Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.814453065,4.063988924,4.996434748,6.403289795,5.503300071,6.095419645,7.370149851,6.129699707,6.558149576,6.62093997,7.67550993,6.458299875,3.619269848,4.083569765,5.36552,5.88746953,6.804380059,9.057149649,8.507230043,8.528339863,6.18027997,6.692629814,5.153829813,5.384639859,9.72991991,5.104369879,6.993739605,6.311099529,5.200840235,4.380690098,5.036180019,7.242160082,6.883100271,13.59320974,5.667969942,5.009270191,4.598279953,6.195319653,4.001999855,4.96607995,7.992069483,5.051399946,5.181060076,4.56599021,7.942080021,7.514879584,7.523310065,6.235810161,5.984420061,6.887659669,5.827300072,5.143449903,4.726569772,3.464350104,3.502279997,3.547029972,4.840030193,5.728310108,5.319260001,4.961580038,5.415699959,5.622840047,7.752270341,6.127479911,6.244570255,7.398109913,7.520709991,6.229129791,5.989739656,6.460870504,6.798550248,7.101430297,7.359940171,8.033739567,8.620899796,7.167410016,6.927470088,6.96587038,7.565470457,9.576320052,9.994429588,8.915590107,8.496564031,12.18220246,11.071805,10.45656157,11.29108107,11.09821063,10.29016995,10.156147,9.400387585,9.326168001,7.745019972,12.49367493,13.08981776,10.79737604,11.79334128,10.7900151,10.57621205,10.95626891,11.10681748,11.64680076,12.57968503,12.40994644,9.39109993,9.012199879,8.110589743,6.911799908,8.520160198,7.909599781,7.286429882,11.84560978,11.67808872,13.30536997,12.87081981,13.76742983,14.14408898,11.36942005,11.92307973,10.9222002,12.4052403,11.8122102,12.18228006,11.40489262,10.08233583,10.28922719,10.54605144,10.50563955,12.22367013,12.93392038,12.75890028,12.58753967,20.49598201,20.78170508,22.42551219,21.61929247,22.320001,19.70795486,20.29965982,21.77694638,22.61436552,24.98069022,27.75793581,29.24969342,33.18230524,32.50306186,33.74362318,35.49918616,36.9887894,38.10052895,39.78360008,39.62955074,38.65649178,35.74604907,33.70961538,39.64959973,36.02737332
0,Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.15584602,26.21393522,23.73825075,20.24054955,21.34560925,20.36565919,21.11907989,23.24829493,23.88861447,27.11733547,22.47861195,22.62410637,20.38901441,22.61511153,24.34064584,27.55414912,24.28857531,27.54409587,26.08517032,26.07884507,21.59682231,21.038763,20.53293228,20.73496689,19.40479197,33.93944284,25.03084112
0,Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.596007988,2.675927967,4.605013117,6.764702186,8.346381962,8.319211632,9.137113094,7.395046085,6.337191164,5.280118048,4.343706816,4.541750073,3.066210032,3.580470204,3.528050184,3.640020132,3.744159818,4.022989869,1.880340099,1.818180084,3.749999881,1.762540102,2.346369982,2.249040127,2.28305006,2.423259735,2.847719908,4.671720266,9.603699923,15.25828004,22.6172291,23.49391961,21.03799081,17.03574932,13.63345969,11.29173982,11.42459989,11.10807955,12.34751695,13.98787427,12.54128492,11.65091109,11.37669748,11.29937235,11.74016756,11.70870414,10.97922096,19.47674346,20.839674,20.30012488,20.57423115,21.07968044,23.36210442,23.2578721,23.9367547,22.89174962,22.27498341,22.89775229,23.74463177,24.69396377,24.25272799,28.37060905,30.51777983,30.4264071,31.15549517,30.10363746,29.23346877,29.67795992,29.53992081,32.51653862,32.68928385,33.60387039,33.53410816,33.07042885,31.10872173,29.68480539,29.85115051,31.79814434,34.01855564,34.37333226,33.98496723,33.57331467,32.86602783,32.71972847,32.08188868,32.64942455,32.41586065,33.62394691,33.28679705,32.7278353,33.03041458,33.21067202,32.55260623,32.44604516,32.35728729,34.80008173,35.3599546,35.91421902,35.14515568,35.25444146,35.12233749,35.43710712,35.91305032,35.926576,35.48301097,35.65017378,37.73107727,43.42398681,41.05521954
0,Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.512900352,11.45217037,8.793699741,8.838229656,14.24893975,9.194890261,9.100770473,9.481189966,9.288760424,10.75091028,10.03729033,13.94232941,11.46066022,12.58947945,12.29703021,10.72823954,11.53502011,12.74492073,12.41251016,11.71696973,12.34499979,12.9382906,12.91151023,13.0304904,13.94593048,12.27888012,11.70397973,15.33844948,14.31989956,19.55792046,14.65796065,14.39208055,14.82739043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.66736031,12.79587632,14.77241617,15.68041563,16.03941321,15.7369889,19.03196961,21.28956997,18.93613076,12.87467027,15.06349909,15.67286062,14.13515043,13.06109989,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.28412765,33.50335836,36.09959599,26.06725214,21.89067522,26.16124189,24.41667785,23.99435563,23.956303,25.52428246,27.99712771,26.7972846,35.67849487,35.08645219,36.93194425,38.00939131,38.05574095,37.7149573,38.12251854,40.09926844,40.14329892,39.89245784,38.72835529,39.24245942,39.31457806,40.75968856,41.24041343,45.10833412,46.32139158,45.85318053,48.64355063,47.54526043,47.61923003,48.86599994,49.05872059,49.53558135,49.30153108,50.09551024,50.73947048,50.71549821,49.78722811,48.30784822,48.08062029,48.9582417,49.65034103,52.547369,52.44575882,52.23026085,51.85174847,49.73434091,50.00203967,49.92047906,48.33640862,47.78214812,47.34594059,48.2419591,50.80432963,47.00047898,46.27406931,45.72828102,46.67657971,50.08852983,49.88081169,48.11250881,48.50004597,49.04575404,49.88767991,48.68336212,47.98939964,47.45969334,47.11566717,47.15342028,55.67279268,54.86915822
0,Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.27530754,18.56490768,19.42538666,20.0708173,18.62023761,19.10514772,17.84546995,16.5244335,22.85950044,21.43373638,24.00688146,22.33077192,25.11229372,25.85960142,31.29059118,34.32678948,31.95361321,33.65966509,36.52901972,37.67389149,36.22509764,38.30809895,34.97981729,35.12388577,32.43979854,31.83757608,39.55892959,31.74203291
0,"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.82316212,11.11563035,11.03820232,10.61727226,10.92292811,10.71174811,10.65714898,12.03147979,11.23349245,8.428767185,10.97974745,10.86782834,10.84317013,11.22605791,11.21378062,11.56732167,12.07560746,12.40563681,12.98442758,13.72255603,13.65434736,14.98161135,15.1812214,15.01392817,15.04004559,15.23044958,16.44611361,20.18355737,17.07947783,17.57980549,22.75401778,28.66459585
